Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
EndUpdateTexture3D,5,5.000000,0.000037,0.000002,0.000027,0.000007,0.000003,0.000037,0.000002,0.000027,0.000007,0.000003
RenderGraphExecute,533,533.000000,3.225426,0.000000,0.137912,0.006051,0.000000,1.029378,0.000000,0.107800,0.001931,0.000000
FRDGBuilder::SubmitBufferUploads,533,533.000000,0.013715,0.000000,0.000059,0.000026,0.000002,0.013715,0.000000,0.000059,0.000026,0.000002
SendAllEndOfFrameUpdates,267,267.000000,0.000209,0.000000,0.000001,0.000001,0.000001,0.000209,0.000000,0.000001,0.000001,0.000001
GPUSkinCache_UpdateSkinningBatches,267,267.000000,0.000234,0.000000,0.000002,0.000001,0.000001,0.000234,0.000000,0.000002,0.000001,0.000001
SceneRender,266,266.000000,3.502323,0.005301,0.245230,0.013167,0.012571,0.281327,0.000052,0.107314,0.001058,0.000052
RayTracingGeometry,266,266.000000,0.000091,0.000000,0.000001,0.000000,0.000000,0.000091,0.000000,0.000001,0.000000,0.000000
UpdateLumenSceneBuffers,266,266.000000,0.009429,0.000002,0.000069,0.000035,0.000034,0.009429,0.000002,0.000069,0.000035,0.000034
UpdateAllPrimitiveSceneInfos,266,266.000000,0.006811,0.000006,0.000252,0.000026,0.000024,0.001638,0.000000,0.000015,0.000006,0.000006
GPUSceneUpdate,266,266.000000,0.004845,0.000006,0.000037,0.000018,0.000017,0.000004,0.000000,0.000001,0.000000,0.000000
GPUScene.Update,266,266.000000,0.004841,0.000006,0.000037,0.000018,0.000017,0.002172,0.000000,0.000023,0.000008,0.000008
UpdateGPUScene,266,266.000000,0.002669,0.000006,0.000018,0.000010,0.000009,0.002669,0.000006,0.000018,0.000010,0.000009
UpdateDistanceFieldObjectBuffers,265,265.000000,0.001548,0.000004,0.000015,0.000006,0.000006,0.001548,0.000004,0.000015,0.000006,0.000006
UpdateDistanceFieldAtlas,266,266.000000,0.034752,0.000060,0.004239,0.000131,0.000060,0.034752,0.000060,0.004239,0.000131,0.000060
UpdateGlobalDistanceField,266,266.000000,0.233898,0.000268,0.002561,0.000879,0.000662,0.000254,0.000001,0.000023,0.000001,0.000001
Update %s,271,271.000000,0.233644,0.000068,0.002273,0.000862,0.000647,0.200856,0.000068,0.002150,0.000741,0.000531
Coarse,266,266.000000,0.032787,0.000121,0.000242,0.000123,0.000123,0.032787,0.000121,0.000242,0.000123,0.000123
Nanite::Streaming,265,265.000000,0.028489,0.000049,0.000117,0.000108,0.000107,0.000017,0.000000,0.000010,0.000000,0.000000
Nanite::Transcode,6,6.000000,0.000257,0.000031,0.000069,0.000043,0.000039,0.000257,0.000031,0.000069,0.000043,0.000039
Scene,266,266.000000,1.874318,0.004444,0.027365,0.007046,0.006527,0.162705,0.000218,0.009428,0.000612,0.000312
VisibilityCommands,1,1.000000,0.015489,0.015489,0.015489,0.015489,0.015489,0.015489,0.015489,0.015489,0.015489,0.015489
FXSystemPreRender,266,266.000000,0.002065,0.000006,0.000032,0.000008,0.000008,0.001734,0.000005,0.000031,0.000007,0.000006
GPUParticles_PreRender,266,266.000000,0.000332,0.000001,0.000013,0.000001,0.000001,0.000332,0.000001,0.000013,0.000001,0.000001
GPUSceneUpdate,266,266.000000,0.001572,0.000004,0.000014,0.000006,0.000006,0.001572,0.000004,0.000014,0.000006,0.000006
SceneCulling_ComputeExplicitChunkBounds,265,265.000000,0.003088,0.000010,0.000016,0.000012,0.000012,0.003088,0.000010,0.000016,0.000012,0.000012
BuildRenderingCommandsDeferred(Culling=%s),532,532.000000,0.006783,0.000004,0.000018,0.000013,0.000012,0.006783,0.000004,0.000018,0.000013,0.000012
PrePass %s %s,266,266.000000,0.008177,0.000023,0.000039,0.000031,0.000032,0.004690,0.000011,0.000025,0.000018,0.000019
ParallelDraw,2691,2691.000000,0.050602,0.000000,0.000117,0.000019,0.000013,0.050602,0.000000,0.000117,0.000019,0.000013
Nanite::VisBuffer,266,266.000000,0.010199,0.000036,0.000045,0.000038,0.000038,0.000238,0.000001,0.000002,0.000001,0.000001
Nanite::InitContext,532,532.000000,0.010935,0.000000,0.000044,0.000021,0.000035,0.010935,0.000000,0.000044,0.000021,0.000035
Nanite::VisBuffer,266,266.000000,0.127632,0.000168,0.000674,0.000480,0.000490,0.000003,0.000000,0.000001,0.000000,0.000000
Nanite::DrawGeometry,798,798.000000,0.463648,0.000111,0.002785,0.000581,0.000462,0.025169,0.000008,0.000057,0.000032,0.000038
NoOcclusionPass,269,269.000000,0.037349,0.000100,0.000250,0.000139,0.000140,0.024702,0.000057,0.000159,0.000092,0.000094
InstanceCulling,1327,1327.000000,0.029325,0.000006,0.000071,0.000022,0.000009,0.029325,0.000006,0.000071,0.000022,0.000009
NodeAndClusterCull,1327,1327.000000,0.081483,0.000017,0.000375,0.000061,0.000039,0.081483,0.000017,0.000375,0.000061,0.000039
PatchSplit,1061,1061.000000,0.004770,0.000003,0.000008,0.000004,0.000004,0.004770,0.000003,0.000008,0.000004,0.000004
NaniteBasePass,266,266.000000,0.028657,0.000080,0.000145,0.000108,0.000106,0.000026,0.000000,0.000001,0.000000,0.000000
Nanite::EmitDepthTargets,266,266.000000,0.028631,0.000080,0.000145,0.000108,0.000106,0.028631,0.000080,0.000145,0.000108,0.000106
HZB,266,266.000000,0.008417,0.000004,0.000081,0.000032,0.000028,0.000004,0.000000,0.000001,0.000000,0.000000
BeginOcclusionTests,266,266.000000,0.008413,0.000004,0.000081,0.000032,0.000028,0.000006,0.000000,0.000001,0.000000,0.000000
BeginOcclusionTests,266,266.000000,0.008408,0.000004,0.000081,0.000032,0.000028,0.000005,0.000000,0.000001,0.000000,0.000000
ViewOcclusionTests,266,266.000000,0.008403,0.000004,0.000080,0.000032,0.000028,0.000007,0.000000,0.000001,0.000000,0.000000
BeginOcclusionTests,266,266.000000,0.008396,0.000004,0.000080,0.000032,0.000028,0.000089,0.000000,0.000002,0.000000,0.000000
ShadowFrustumQueries,266,266.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000
GroupedQueries,266,266.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000
IndividualQueries,266,266.000000,0.008305,0.000004,0.000080,0.000031,0.000028,0.008305,0.000004,0.000080,0.000031,0.000028
