Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FTraceAux_Launch_UTS,1,1.000000,0.058646,0.058646,0.058646,0.058646,0.058646,0.058646,0.058646,0.058646,0.058646,0.058646
FTraceAux_Start,2,2.000000,0.000684,0.000046,0.000638,0.000342,0.000635,0.000013,0.000003,0.000009,0.000006,0.000009
FTraceAux_EnableChannels,2,2.000000,0.000059,0.000022,0.000037,0.000030,0.000037,0.000059,0.000022,0.000037,0.000030,0.000037
FTraceAux_InitialStats,1,1.000000,0.000024,0.000024,0.000024,0.000024,0.000024,0.000001,0.000001,0.000001,0.000001,0.000001
FTraceAux_Stats_Counters,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
FTraceAux_Stats_LLM,1,1.000000,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020
UE::Trace::Initialize,1,1.000000,0.000114,0.000114,0.000114,0.000114,0.000114,0.000114,0.000114,0.000114,0.000114,0.000114
FTraceAux_CallstackTrace_Create,1,1.000000,0.000958,0.000958,0.000958,0.000958,0.000958,0.000958,0.000958,0.000958,0.000958,0.000958
FTraceAux_CallstackTrace_Init,1,1.000000,0.055023,0.055023,0.055023,0.055023,0.055023,0.055023,0.055023,0.055023,0.055023,0.055023
FTraceAux_PlatformEventsTrace_Init,1,1.000000,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024
FTraceAux_TryAutoConnect,1,1.000000,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018
LLM Init,1,1.000000,0.007958,0.007958,0.007958,0.007958,0.007958,0.007958,0.007958,0.007958,0.007958,0.007958
InitTaggedStorage,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
CreateConsoleOutputDevice,1,1.000000,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022
Fix up the relative project path,1,1.000000,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026
FWindowsPlatformFile_IterateDirectoryCommon_WithCallback,4866,4866.000000,0.565210,0.000000,0.016742,0.000116,0.000000,0.565210,0.000017,0.014735,0.000116,0.000017
Init Output Devices,1,1.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000009,0.000009,0.000009,0.000009,0.000009
FCoreDelegates::OnOutputDevicesInit,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
