Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
IndividualQueries,6,6.000000,0.001037,0.000007,0.000476,0.000173,0.000175,0.001037,0.000007,0.000476,0.000173,0.000175
HZB,6,6.000000,0.000318,0.000035,0.000070,0.000053,0.000069,0.000000,0.000000,0.000000,0.000000,0.000000
BuildHZB,6,6.000000,0.000318,0.000035,0.000070,0.000053,0.000069,0.000000,0.000000,0.000000,0.000000,0.000000
BuildHZB,10,10.000000,0.000479,0.000035,0.000070,0.000048,0.000040,0.000479,0.000035,0.000070,0.000048,0.000040
ComputeLightGrid,6,6.000000,0.000157,0.000021,0.000033,0.000026,0.000027,0.000006,0.000001,0.000001,0.000001,0.000001
CullLights,6,6.000000,0.000151,0.000020,0.000032,0.000025,0.000026,0.000151,0.000020,0.000032,0.000025,0.000026
LightFunctionAtlasGeneration,6,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LumenSceneUpdate:,6,6.000000,0.003403,0.000065,0.002501,0.000567,0.000274,0.000356,0.000043,0.000092,0.000059,0.000057
ClearLumenSurfaceCache,2,2.000000,0.002163,0.001081,0.001082,0.001081,0.001082,0.002163,0.001081,0.001082,0.001081,0.001082
LumenUploadPageTable,2,2.000000,0.000014,0.000005,0.000009,0.000007,0.000009,0.000014,0.000005,0.000009,0.000007,0.000009
BuildRenderingCommands(Culling=%s),2,2.000000,0.000020,0.000010,0.000010,0.000010,0.000010,0.000020,0.000010,0.000010,0.000010,0.000010
MeshCardCapture,36,36.000000,0.000057,0.000000,0.000018,0.000002,0.000000,0.000057,0.000000,0.000018,0.000002,0.000000
Nanite::RasterizeLumenCards,3,3.000000,0.000482,0.000110,0.000229,0.000161,0.000143,0.000000,0.000000,0.000000,0.000000,0.000000
Nanite::LumenMeshCapturePass,3,3.000000,0.000073,0.000021,0.000027,0.000024,0.000025,0.000018,0.000005,0.000007,0.000006,0.000006
LumenEmitGBuffer,3,3.000000,0.000054,0.000016,0.000020,0.000018,0.000018,0.000054,0.000016,0.000020,0.000018,0.000018
CopyCardsToSurfaceCache,6,6.000000,0.000191,0.000014,0.000055,0.000032,0.000037,0.000191,0.000014,0.000055,0.000032,0.000037
LumenSceneLighting%s,6,6.000000,0.003599,0.000335,0.001147,0.000600,0.000503,0.000281,0.000000,0.000270,0.000047,0.000000
BuildCardUpdateContext,6,6.000000,0.000182,0.000025,0.000051,0.000030,0.000026,0.000182,0.000025,0.000051,0.000030,0.000026
DirectLighting,6,6.000000,0.001611,0.000125,0.000850,0.000268,0.000165,0.000771,0.000006,0.000729,0.000129,0.000006
CullTiles,6,6.000000,0.000356,0.000039,0.000098,0.000059,0.000060,0.000356,0.000039,0.000098,0.000059,0.000060
Light,6,6.000000,0.000079,0.000010,0.000016,0.000013,0.000014,0.000079,0.000010,0.000016,0.000013,0.000014
Offscreen,6,6.000000,0.000339,0.000038,0.000082,0.000056,0.000056,0.000339,0.000038,0.000082,0.000056,0.000056
Lights,6,6.000000,0.000067,0.000008,0.000014,0.000011,0.000011,0.000067,0.000008,0.000014,0.000011,0.000011
BasePass,6,6.000000,0.001015,0.000131,0.000228,0.000169,0.000188,0.000231,0.000019,0.000061,0.000038,0.000053
NaniteBasePass,6,6.000000,0.000349,0.000051,0.000066,0.000058,0.000063,0.000005,0.000001,0.000001,0.000001,0.000001
Nanite::BasePass,6,6.000000,0.000343,0.000050,0.000065,0.000057,0.000062,0.000191,0.000027,0.000037,0.000032,0.000035
Nanite::ShadeBinning,6,6.000000,0.000152,0.000023,0.000030,0.000025,0.000026,0.000152,0.000023,0.000030,0.000025,0.000026
EditorPrimitives,6,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
StochasticLighting,6,6.000000,0.000830,0.000054,0.000271,0.000138,0.000156,0.000830,0.000054,0.000271,0.000138,0.000156
CopyStencilToLightingChannels,6,6.000000,0.000299,0.000022,0.000110,0.000050,0.000028,0.000299,0.000022,0.000110,0.000050,0.000028
VirtualShadowMapMarkPages,6,6.000000,0.000516,0.000066,0.000119,0.000086,0.000086,0.000000,0.000000,0.000000,0.000000,0.000000
ShadowDepths,6,6.000000,0.000516,0.000066,0.000119,0.000086,0.000086,0.000001,0.000000,0.000001,0.000000,0.000000
FVirtualShadowMapArray::BeginMarkPages,6,6.000000,0.000515,0.000066,0.000119,0.000086,0.000086,0.000515,0.000066,0.000119,0.000086,0.000086
ShadowDepths,6,6.000000,0.018995,0.000798,0.006773,0.003166,0.002639,0.000103,0.000016,0.000018,0.000017,0.000017
FVirtualShadowMapArray::BuildPageAllocation,6,6.000000,0.001959,0.000102,0.001194,0.000327,0.000140,0.000773,0.000063,0.000243,0.000129,0.000121
InitializePhysicalPages,6,6.000000,0.001187,0.000024,0.000981,0.000198,0.000048,0.001187,0.000024,0.000981,0.000198,0.000048
RenderVirtualShadowMaps,6,6.000000,0.015429,0.000505,0.006470,0.002571,0.002162,0.000873,0.000044,0.000453,0.000146,0.000055
RenderVirtualShadowMaps,6,6.000000,0.001302,0.000092,0.000629,0.000217,0.000138,0.000001,0.000000,0.000000,0.000000,0.000000
Batched,6,6.000000,0.001302,0.000092,0.000629,0.000217,0.000138,0.000629,0.000016,0.000306,0.000105,0.000071
CullingPasses,6,6.000000,0.000672,0.000057,0.000323,0.000112,0.000075,0.000672,0.000057,0.000323,0.000112,0.000075
FVirtualShadowMapArray::MergeStaticPhysicalPages,6,6.000000,0.000126,0.000009,0.000037,0.000021,0.000023,0.000126,0.000009,0.000037,0.000021,0.000023
RenderDeferredLighting,6,6.000000,0.018082,0.001377,0.006016,0.003014,0.002759,0.000054,0.000001,0.000012,0.000009,0.000010
DiffuseIndirectAndAO,6,6.000000,0.012618,0.001006,0.004313,0.002103,0.001791,0.000354,0.000034,0.000097,0.000059,0.000063
LumenScreenProbeGather,6,6.000000,0.009883,0.000752,0.003645,0.001647,0.001117,0.004046,0.000306,0.001421,0.000674,0.000627
UpdateRadianceCaches,6,6.000000,0.005046,0.000380,0.001966,0.000841,0.000612,0.005046,0.000380,0.001966,0.000841,0.000612
Integrate,6,6.000000,0.000790,0.000066,0.000258,0.000132,0.000106,0.000790,0.000066,0.000258,0.000132,0.000106
TranslucencyVolumeLighting,6,6.000000,0.001225,0.000135,0.000321,0.000204,0.000162,0.001225,0.000135,0.000321,0.000204,0.000162
LumenReflections,6,6.000000,0.001156,0.000064,0.000415,0.000193,0.000247,0.001156,0.000064,0.000415,0.000193,0.000247
InitTranslucencyLightingVolumeTextures,6,6.000000,0.000250,0.000029,0.000095,0.000042,0.000033,0.000250,0.000029,0.000095,0.000042,0.000033
Lights,6,6.000000,0.001586,0.000174,0.000443,0.000264,0.000203,0.000001,0.000000,0.000001,0.000000,0.000000
DirectLighting,6,6.000000,0.001585,0.000174,0.000443,0.000264,0.000203,0.000001,0.000000,0.000001,0.000000,0.000000
UnbatchedLights,6,6.000000,0.001584,0.000174,0.000442,0.000264,0.000202,0.000001,0.000000,0.000001,0.000000,0.000000
%s,6,6.000000,0.001583,0.000174,0.000442,0.000264,0.000202,0.000343,0.000037,0.000090,0.000057,0.000058
ShadowProjectionOnOpaque,6,6.000000,0.001239,0.000137,0.000352,0.000207,0.000162,0.000905,0.000080,0.000303,0.000151,0.000106
DistanceFieldShadows,6,6.000000,0.000335,0.000049,0.000057,0.000056,0.000057,0.000014,0.000002,0.000004,0.000002,0.000002
BeginRayTracedDistanceFieldShadow,6,6.000000,0.000321,0.000045,0.000055,0.000053,0.000055,0.000088,0.000013,0.000018,0.000015,0.000014
CullDistanceFieldObjectsForLight %s,6,6.000000,0.000233,0.000027,0.000042,0.000039,0.000041,0.000233,0.000027,0.000042,0.000039,0.000041
TranslucencyLightingVolume,6,6.000000,0.003573,0.000158,0.001224,0.000596,0.000680,0.000004,0.000000,0.000001,0.000001,0.000000
InjectTranslucencyLightingVolume,6,6.000000,0.000377,0.000060,0.000066,0.000063,0.000063,0.000377,0.000060,0.000066,0.000063,0.000063
FilterTranslucentVolume,6,6.000000,0.003193,0.000096,0.001159,0.000532,0.000617,0.003193,0.000096,0.001159,0.000532,0.000617
PostRenderOpsFX,6,6.000000,0.000039,0.000006,0.000007,0.000007,0.000006,0.000016,0.000002,0.000003,0.000003,0.000003
FXSystemPostRenderOpaque,6,6.000000,0.000023,0.000004,0.000004,0.000004,0.000004,0.000018,0.000003,0.000003,0.000003,0.000003
GPUParticles_PostRenderOpaque,6,6.000000,0.000005,0.000001,0.000001,0.000001,0.000001,0.000005,0.000001,0.000001,0.000001,0.000001
Translucency,6,6.000000,0.004234,0.000367,0.001174,0.000706,0.000779,0.000019,0.000002,0.000004,0.000003,0.000003
RenderTranslucency,6,6.000000,0.004215,0.000365,0.001170,0.000703,0.000776,0.002073,0.000114,0.000969,0.000346,0.000360
PostProcessing,6,6.000000,0.003582,0.000520,0.000754,0.000597,0.000597,0.001150,0.000128,0.000284,0.000192,0.000177
%s,6,6.000000,0.000303,0.000024,0.000080,0.000051,0.000073,0.000303,0.000024,0.000080,0.000051,0.000073
LocalExposure,6,6.000000,0.000182,0.000017,0.000065,0.000030,0.000031,0.000182,0.000017,0.000065,0.000030,0.000031
Histogram,6,6.000000,0.000145,0.000022,0.000028,0.000024,0.000024,0.000145,0.000022,0.000028,0.000024,0.000024
TextureDownsampleChain,12,12.000000,0.000197,0.000013,0.000025,0.000016,0.000014,0.000197,0.000013,0.000025,0.000016,0.000014
LocalExposure,6,6.000000,0.000078,0.000012,0.000014,0.000013,0.000013,0.000078,0.000012,0.000014,0.000013,0.000013
Bloom,6,6.000000,0.000682,0.000088,0.000171,0.000114,0.000108,0.000682,0.000088,0.000171,0.000114,0.000108
FXAA,6,6.000000,0.000455,0.000055,0.000117,0.000076,0.000084,0.000455,0.000055,0.000117,0.000076,0.000084
VirtualTextureUpdate,6,6.000000,0.000614,0.000077,0.000127,0.000102,0.000097,0.000614,0.000077,0.000127,0.000102,0.000097
Submit,6,6.000000,0.000367,0.000050,0.000104,0.000061,0.000054,0.000367,0.000050,0.000104,0.000061,0.000054
Frame,6,6.000000,0.891145,0.027815,0.387900,0.148524,0.142387,0.750012,0.027734,0.351105,0.125002,0.111026
WorldTick,5,5.000000,0.000006,0.000000,0.000006,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000
InjectParticleCurves,1,1.000000,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
Shadow.Virtual.ProcessInvalidations,3,3.000000,0.000361,0.000023,0.000246,0.000120,0.000092,0.000361,0.000023,0.000246,0.000120,0.000092
Shadow.Virtual.ProcessInvalidationsGPU,5,5.000000,0.000020,0.000003,0.000005,0.000004,0.000004,0.000020,0.000003,0.000005,0.000004,0.000004
Radiosity,5,5.000000,0.001525,0.000135,0.000715,0.000305,0.000211,0.001525,0.000135,0.000715,0.000305,0.000211
MainPass,9,9.000000,0.011751,0.000164,0.005303,0.001306,0.000372,0.009972,0.000066,0.004900,0.001108,0.000261
BuildPreviousOccluderHZB,5,5.000000,0.000341,0.000029,0.000212,0.000068,0.000033,0.000341,0.000029,0.000212,0.000068,0.000033
PostPass,9,9.000000,0.004557,0.000083,0.001681,0.000506,0.000083,0.004199,0.000051,0.001629,0.000467,0.000051
SlateUI Title = %s,5,5.000000,0.000059,0.000009,0.000021,0.000012,0.000010,0.000051,0.000009,0.000012,0.000010,0.000010
DrawDebugCanvas,2,2.000000,0.000009,0.000000,0.000009,0.000004,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000
CanvasFlush,2,2.000000,0.000009,0.000000,0.000008,0.000004,0.000008,0.000009,0.000000,0.000008,0.000004,0.000008
BufferPoolCopyOps,5,5.000000,0.000048,0.000000,0.000031,0.000010,0.000001,0.000048,0.000000,0.000031,0.000010,0.000001
TexturePoolCopyOps,5,5.000000,0.000002,0.000000,0.000001,0.000000,0.000000,0.000002,0.000000,0.000001,0.000000,0.000000
ScaleVariableRateShadingTexture,4,4.000000,0.000005,0.000001,0.000001,0.000001,0.000001,0.000005,0.000001,0.000001,0.000001,0.000001
Nanite::Readback,4,4.000000,0.000456,0.000110,0.000119,0.000114,0.000114,0.000456,0.000110,0.000119,0.000114,0.000114
BuildPreviousOccluderHZB,4,4.000000,0.000165,0.000039,0.000045,0.000041,0.000040,0.000004,0.000001,0.000001,0.000001,0.000001
PrepareImageBasedVRS,4,4.000000,0.000160,0.000039,0.000044,0.000040,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000
ContrastAdaptiveShading,4,4.000000,0.000160,0.000039,0.000044,0.000040,0.000039,0.000160,0.000039,0.000044,0.000040,0.000039
UpdateCardSceneBuffer,4,4.000000,0.000043,0.000006,0.000017,0.000011,0.000011,0.000043,0.000006,0.000017,0.000011,0.000011
MotionBlur,4,4.000000,0.000390,0.000096,0.000100,0.000097,0.000097,0.000294,0.000072,0.000076,0.000074,0.000074
MotionBlur FullResFilter(BlurDirections=%d MaxSamples=%d%s%s%s%s) %dx%d,4,4.000000,0.000095,0.000022,0.000025,0.000024,0.000025,0.000095,0.000022,0.000025,0.000024,0.000025
Nanite::EndAsyncUpdate,1,1.000000,0.000049,0.000049,0.000049,0.000049,0.000049,0.000005,0.000005,0.000005,0.000005,0.000005
Windows_LoadLibrary,407,407.000000,0.394532,0.000001,0.009954,0.000969,0.000705,0.394487,0.000001,0.009954,0.000969,0.000705
ResolveMissingImports,393,393.000000,0.068337,0.000000,0.007586,0.000174,0.000077,0.068337,0.000040,0.005888,0.000174,0.000099
FTextLocalizationManager::GetDisplayString,1633,1633.000000,0.002087,0.000000,0.000017,0.000001,0.000001,0.002087,0.000000,0.000017,0.000001,0.000001
InitCommand,445,445.000000,0.000134,0.000000,0.000008,0.000000,0.000000,0.000134,0.000000,0.000008,0.000000,0.000000
FEngineLoop::PreInitPreStartupScreen,1,1.000000,6.571639,6.571639,6.571639,6.571639,6.571639,0.009561,0.009561,0.009561,0.009561,0.009561
